Object property                Domain                         Range                          File                          
heldBy                         Item                           Agent                          bibliotek-o.owl               
holds                          Agent                          Item                           bibliotek-o.owl               
BSPO_0000104                   BSPO_0000010                   BSPO_0000010                   bspo.owl                      
BSPO_0015001                   BSPO_0000054                   BSPO_0000010                   bspo.owl                      
BSPO_0015004                   BSPO_0000010                   CARO_0000000                   bspo.owl                      
BSPO_0015005                   BSPO_0000010                   BSPO_0000400                   bspo.owl                      
BSPO_0015007                   BSPO_0000054                   BSPO_0000010                   bspo.owl                      
RO_0002220                     BFO_0000004                    BFO_0000004                    bspo.owl                      
_has_start_point               BSPO_0000010                   CARO_0000000                   bspo.owl                      
hasClinicalActionType          Action                         ClinicalActionType             Cguide.owl                    
hasClinicalSpecialty           Scope                          ClinicalSpecialty              Cguide.owl                    
hasCondition                   ConditionSet                   Condition                      Cguide.owl                    
hasGuidelineCategory           Scope                          GuidelineCategory              Cguide.owl                    
hasOption                      Decision                       Option                         Cguide.owl                    
hasOptionConditionSet          Option                         ConditionSet                   Cguide.owl                    
hasOutcomeConditionSet         Outcome                        ConditionSet                   Cguide.owl                    
hasParameter                   Question                       Parameter                      Cguide.owl                    
hasPlan                        ClinicalPracticeGuideline      Plan                           Cguide.owl                    
hasPreConditionSet             PreCondition                   ConditionSet                   Cguide.owl                    
hasResultParameter             Formula                        Parameter                      Cguide.owl                    
hasScope                       ClinicalPracticeGuideline      Scope                          Cguide.owl                    
hasScopeConditionSet           Scope                          ConditionSet                   Cguide.owl                    
hasStopConditionSet            Periodicity                    ConditionSet                   Cguide.owl                    
hasTemporalOperator            TemporalRestriction            TemporalOperator               Cguide.owl                    
hasTemporalRestriction         Condition                      TemporalRestriction            Cguide.owl                    
hasTriggerConditionSet         TriggerCondition               ConditionSet                   Cguide.owl                    
hasVariableParameter           Formula                        Parameter                      Cguide.owl                    
syncTask                       ClinicalTask                   ClinicalTask                   Cguide.owl                    
RO_0000087                     BFO_0000004                    BFO_0000023                    chebi.owl                     
RO_0000087                     BFO_0000004                    BFO_0000023                    chebi.owl                     
politicalPartyOfLeader         Legislature                    PoliticalParty                 dbpedia_2016-10.owl           
otherOccupation                Person                         PersonFunction                 dbpedia_2016-10.owl           
shuttle                        SpaceMission                   SpaceShuttle                   dbpedia_2016-10.owl           
illustrator                    WrittenWork                    Person                         dbpedia_2016-10.owl           
otherMedia                     Person                         PeriodicalLiterature           dbpedia_2016-10.owl           
fastestDriver                  GrandPrix                      Person                         dbpedia_2016-10.owl           
minority                       Settlement                     Group                          dbpedia_2016-10.owl           
massif                         SkiResort                      Place                          dbpedia_2016-10.owl           
britishComedyAwards            Comedian                       Award                          dbpedia_2016-10.owl           
altitude                       Place                          Altitude                       dbpedia_2016-10.owl           
firstLaunchRocket              LaunchPad                      Rocket                         dbpedia_2016-10.owl           
sourceConfluenceCountry        River                          Country                        dbpedia_2016-10.owl           
largestMetro                   Settlement                     PopulatedPlace                 dbpedia_2016-10.owl           
species                        Species                        Species                        dbpedia_2016-10.owl           
managementRegion               Island                         PopulatedPlace                 dbpedia_2016-10.owl           
fileURL                        File                           File                           dbpedia_2016-10.owl           
attorneyGeneral                LegalCase                      Person                         dbpedia_2016-10.owl           
maidenFlightRocket             YearInSpaceflight              Rocket                         dbpedia_2016-10.owl           
raceTrack                      SportsEvent                    RaceTrack                      dbpedia_2016-10.owl           
grossDomesticProductNominalPerCapita PopulatedPlace                 GrossDomesticProductPerCapita  dbpedia_2016-10.owl           
guest                          TelevisionEpisode              Person                         dbpedia_2016-10.owl           
torchBearer                    Olympics                       Person                         dbpedia_2016-10.owl           
copilote                       Person                         Person                         dbpedia_2016-10.owl           
mother                         Person                         Person                         dbpedia_2016-10.owl           
secondCommander                MilitaryUnit                   Person                         dbpedia_2016-10.owl           
spokesperson                   PoliticalParty                 Person                         dbpedia_2016-10.owl           
targetAirport                  Airline                        Airport                        dbpedia_2016-10.owl           
sportCountry                   Athlete                        Country                        dbpedia_2016-10.owl           
aircraftPatrol                 MilitaryUnit                   MeanOfTransportation           dbpedia_2016-10.owl           
musicFusionGenre               MusicGenre                     MusicGenre                     dbpedia_2016-10.owl           
network                        Broadcaster                    Broadcaster                    dbpedia_2016-10.owl           
bronzeMedalist                 SportsEvent                    Person                         dbpedia_2016-10.owl           
school                         Person                         EducationalInstitution         dbpedia_2016-10.owl           
childOrganisation              Organisation                   Organisation                   dbpedia_2016-10.owl           
parent                         Person                         Person                         dbpedia_2016-10.owl           
alpsSubgroup                   Mountain                       MountainRange                  dbpedia_2016-10.owl           
spurOf                         Road                           Road                           dbpedia_2016-10.owl           
administrativeCollectivity     Settlement                     PopulatedPlace                 dbpedia_2016-10.owl           
chiefEditor                    Work                           Person                         dbpedia_2016-10.owl           
educationPlace                 Person                         Place                          dbpedia_2016-10.owl           
vein                           AnatomicalStructure            Vein                           dbpedia_2016-10.owl           
relative                       Person                         Person                         dbpedia_2016-10.owl           
author                         Work                           Person                         dbpedia_2016-10.owl           
ncaaTeam                       Athlete                        SportsTeam                     dbpedia_2016-10.owl           
hasJunctionWith                Canal                          Canal                          dbpedia_2016-10.owl           
subTribus                      Species                        Species                        dbpedia_2016-10.owl           
juniorTeam                     Athlete                        SportsTeam                     dbpedia_2016-10.owl           
newspaper                      Person                         PeriodicalLiterature           dbpedia_2016-10.owl           
mentor                         Artist                         Artist                         dbpedia_2016-10.owl           
ruralMunicipality              Road                           PopulatedPlace                 dbpedia_2016-10.owl           
veneratedIn                    Saint                          Organisation                   dbpedia_2016-10.owl           
geminiAward                    Actor                          Award                          dbpedia_2016-10.owl           
formerBroadcastNetwork         Broadcaster                    BroadcastNetwork               dbpedia_2016-10.owl           
plant                          Place                          Plant                          dbpedia_2016-10.owl           
sisterStation                  Broadcaster                    Broadcaster                    dbpedia_2016-10.owl           
boxerStyle                     Boxer                          BoxingStyle                    dbpedia_2016-10.owl           
wineRegion                     Grape                          WineRegion                     dbpedia_2016-10.owl           
cemetery                       ReligiousBuilding              Cemetery                       dbpedia_2016-10.owl           
mainIsland                     Place                          Place                          dbpedia_2016-10.owl           
collaboration                  Person                         Person                         dbpedia_2016-10.owl           
lowestPlace                    Place                          PopulatedPlace                 dbpedia_2016-10.owl           
trainerClub                    SoccerPlayer                   SportsTeam                     dbpedia_2016-10.owl           
lymph                          AnatomicalStructure            Lymph                          dbpedia_2016-10.owl           
mouthRegion                    River                          PopulatedPlace                 dbpedia_2016-10.owl           
primogenitor                   Family                         Person                         dbpedia_2016-10.owl           
firstDriverCountry             GrandPrix                      Country                        dbpedia_2016-10.owl           
silverMedalist                 SportsEvent                    Person                         dbpedia_2016-10.owl           
